Clave,Nombre,Latitud,Longitud
2120,EJIDO MEXICO,31.0722222222,-116.2061111111
2121,EL HONGO,32.5163888889,-116.3027777778
2122,REAL DEL CASTILLO VIEJO,31.9513888889,-116.7458333333
2124,EL CARRIZO II,32.4905555556,-116.6838888889
2131,EJIDO RUBEN JARAMILLO,30.9236111111,-116.1275
2132,EJIDO ZARAHEMILA,30.6902777778,-116.0063888889
2134,EJIDO CUERNAVACA,32.5616666667,-115.3055555556
2136,AGUA HECHICERA,32.5369444444,-116.62
2137,COLONIA MARIANA,32.2586111111,-115.3222222222
2138,COLONIA SIETE,32.53,-115.4111111111
2139,COLONIA RODRIGUEZ,32.4186111111,-115.0361111111
2140,COLONIA ZARAGOZA,32.6102777778,-115.5311111111
2141,COMPUERTA BENASSINI,32.5702777778,-115.1108333333
2142,EJIDO GUADALAJARA,32.5477777778,-114.8786111111
2143,EJIDO PLAN LIBERTADOR,32.4,-117
2144,ENSENADA BLANCA,28.4105555556,-113.8638888889
2145,RANCHO WILLIAMS,32.6244444444,-114.8777777778
2146,COLONIA SAN PEDRO MARTIR,31.0375,-115.2041666667
2148,SAN FELIPE (OBS),31.0291666667,-114.8394444444
2149,PUERTECITOS,30.3672222222,-114.8083333333
2150,PUNTA FINAL,29.7375,-114.31
2151,AGUA DE CHALE,30.6380555556,-114.75
2152,EJIDO JOSE MARIA PINO SUAREZ,32.3727777778,-116.0680555556
2153,EJIDO URUAPAN,31.6186111111,-116.455
2154,COLONIA ZACATECAS,32.0602777778,-115.0594444444
2156,EL FLORIDO,32.4722222222,-116.8211111111
2160,EJIDO JAMAU,31.5027777778,-115.725
2162,CAMALAJUE,29.6833333333,-114.1666666667
2163,EJIDO NUEVO LEON (OBS),32.4127777778,-115.1919444444
2164,EJIDO EL PORVENIR,32.1063888889,-115.8522222222
2165,MESA DE SAN JACINTO,30.8844444444,-116.1236111111
2166,SAN PEDRO MARTIR (OBS. ASTRON.,31.0441666667,-115.4588888889
2167,RANCHO MELING,30.9730555556,-115.7452777778
3001,AEROPUERTO VIEJO,24.15,-110.2833333333
3002,BAHIA TORTUGAS,27.6888888889,-114.8972222222
3003,BOCA DEL SALADO,23.2886111111,-109.4377777778
3004,BUENAVISTA DE LORETO,25.1208333333,-111.8133333333
3005,CABO SAN LUCAS,22.8819444444,-109.9125
3006,CADEGE,26.3761111111,-112.5125
3007,CADUA?O,23.3319444444,-109.9472222222
3008,COMONDU,26.0583333333,-111.825
3009,EL AGUAJITO,24.8388888889,-111.1272222222
3010,EL ALAMO,27.1,-112.9333333333
3011,EL CAJONCITO,24.1458333333,-110.2055555556
3012,EL PASO DE IRITU,24.7797222222,-111.15
3013,EL PILAR,24.4697222222,-111.0016666667
3014,EL MOLINO,24.8402777778,-111.7833333333
3015,EL ROSARIO,23.8611111111,-110.6555555556
3016,EL ROSARITO,26.7641666667,-112.4186111111
3017,EL TABLON,27.7666666667,-113.35
3018,EL TRIUNFO,23.8022222222,-110.1091666667
3019,GUADALUPE,26.9222222222,-112.4083333333
3020,IRAKY,24.8286111111,-111.2188888889
3021,LA AGUJA,23.9833333333,-110.8833333333
3022,LA ANGOSTURA,25.0533333333,-111.1222222222
3023,LAGUNILLAS,24.0216666667,-110.3552777778
3024,LA MAQUINA,25.4666666667,-111.1833333333
3025,LA PALMA,27.5666666667,-112.6
3027,LA POZA GRANDE,25.7611111111,-112.0375
3028,LA POZA HONDA,25.3680555556,-111.5194444444
3029,LA PURISIMA,26.1819444444,-112.0777777778
3030,LA RIBERA,23.5972222222,-109.5861111111
3031,LA SOLEDAD NTE,24.8125,-110.9805555556
3032,LAS BARRACAS,23.4722222222,-109.4527777778
3033,LAS CRUCES,25.3972222222,-111.755
3034,LAS LAGUNAS,27.6,-113.5666666667
3035,LORETO (DGE),26.0127777778,-111.3433333333
3036,LOS DIVISADEROS,23.8930555556,-110.1430555556
3037,SAN JUAN DE LOS PLANES,23.9680555556,-109.9361111111
3038,MULEGE,26.8888888889,-111.9844444444
3039,OJO DE AGUA,26.3241666667,-111.9847222222
3041,PATROCINIO,26.8208333333,-112.7972222222
3042,LAS POCITAS,24.3916666667,-111.1083333333
3043,PUERTO ADOLFO LOPEZ MATEOS,25.1952777778,-112.1111111111
3045,PUERTO SAN CARLOS,24.7916666667,-112.1111111111
3047,PUNTA ABREOJOS,26.7155555556,-113.5741666667
3049,SAN ANTONIO SUR,23.8069444444,-110.0583333333
3050,SAN BARTOLO,23.7416666667,-109.8402777778
3051,SAN FELIPE,23.1083333333,-109.8541666667
3052,SAN IGNACIO,27.2986111111,-112.875
3053,SAN JACINTO,23.2375,-110.0680555556
3054,SAN JAVIER,25.8652777778,-111.5444444444
3055,SAN JOSE DE GRACIA,26.5888888889,-112.7222222222
3056,SAN JOSE DEL CABO,23.0694444444,-109.7069444444
3057,SAN JUANICO,26.2569444444,-112.4827777778
3058,SAN PEDRO,23.925,-110.2638888889
3060,SANTA GERTRUDIS,23.5333333333,-110.0744444444
3061,SANTA ROSALIA (DGE),27.3388888889,-112.2697222222
3062,SANTIAGO,23.4822222222,-109.7183333333
3063,SANTO DOMINGO,25.4902777778,-111.9152777778
3064,SIERRA DE LA LAGUNA,23.5486111111,-110.0958333333
3065,TEPENTU,25.0916666667,-111.3255555556
3066,TODOS SANTOS (DGE),23.4486111111,-110.2233333333
3067,YENEKA,23.2708333333,-109.7791666667
3068,VILLA CONSTITUCION,25.0322222222,-111.6702777778
3069,VILLA INSURGENTES,25.2616666667,-111.7744444444
3070,VIZCAINO,27.9833333333,-114.1333333333
3072,EL COYOTE,26.7736111111,-111.9097222222
3073,GUSTAVO DIAZ ORDAZ,27.6472222222,-113.4430555556
3074,LA PAZ (DGE),24.1347222222,-110.3361111111
3075,SAN PEDRO DE LA PRESA,24.8444444444,-110.9736111111
3076,TODOS SANTOS (SMN),23.4063888889,-110.2016666667
3077,EL CARRIZAL,23.7555555556,-110.2705555556
3093,SAN BRUNO,27.1541666667,-112.1527777778
3094,SANTA ANITA,23.1783333333,-109.7016666667
3095,E.T.A. 184 VILLA INSURGENTES,25.2638888889,-111.7763888889
3096,LAS CUEVAS,23.5388888889,-109.6763888889
3097,EL PESCADERO,23.3638888889,-110.1652777778
3098,LOS DOLORES,26.5266666667,-112.6533333333
3099,SAN JUAN LONDO,26.2247222222,-111.475
3100,SAN ZACARIAS,27.1375,-112.9055555556
3101,VILLA MORELOS,24.93,-111.6283333333
3102,EMILIANO ZAPATA,27.5486111111,-113.3888888889
3103,SAN JOSE DE MAGDALENA,27.0611111111,-112.2388888889
3104,LOS ROBLES,24.0361111111,-110.125
3105,SAN IGNACIO DE LOS ROMERO,25.5875,-111.6402777778
3106,SAN JOSE DEL PACIFICO,27.5375,-114.4722222222
3107,SANTA AGUEDA,27.26,-112.3508333333
